time,luminosity,timeErrPos,timeErrNeg,luminosityErrPos,luminosityErrNeg,index,indexErrPos,indexErrNeg
61.8254,2.33303e+50,0.162454,0.152005,4.24926e+49,3.83922e+49,1.36164,0.119626,-0.100059
62.1439,2.3081e+50,0.143242,0.15605,4.4656e+49,4.0217e+49,1.23516,0.135167,-0.113877
62.4469,2.06696e+50,0.166835,0.159757,3.86799e+49,3.50498e+49,1.21069,0.126651,-0.106708
62.7924,1.89716e+50,0.183013,0.178295,3.46699e+49,3.14873e+49,1.25461,0.120118,-0.100871
63.1331,2.27189e+50,0.150657,0.157735,4.67742e+49,4.17456e+49,1.27249,0.149709,-0.125612
63.4415,2.30981e+50,0.133468,0.157735,4.06463e+49,3.70459e+49,1.19515,0.112147,-0.094375
63.7199,2.1847e+50,0.15032,0.144928,4.21909e+49,3.78387e+49,1.12566,0.13044,-0.110175
64.0755,1.66749e+50,0.187732,0.205595,3.05656e+49,2.7631e+49,1.11114,0.120751,-0.102011
64.4317,2.04807e+50,0.15605,0.16852,3.72687e+49,3.31875e+49,1.1392,0.114807,-0.0969268
64.7715,1.9641e+50,0.160094,0.183687,4.09979e+49,3.63952e+49,1.17757,0.150644,-0.127154
65.1031,2.01003e+50,0.195484,0.171554,3.5955e+49,3.272e+49,1.34071,0.117344,-0.0983836
65.4813,2.05208e+50,0.212336,0.182676,4.42712e+49,3.91432e+49,1.52571,0.161144,-0.133985
65.8719,2.27897e+50,0.185709,0.178295,4.34166e+49,3.87855e+49,1.57314,0.129061,-0.107321
66.276,1.91157e+50,0.219414,0.218402,4.08704e+49,3.60902e+49,1.58271,0.15807,-0.131527
66.7118,2.00918e+50,0.212673,0.216717,3.74844e+49,3.37445e+49,1.62599,0.126279,-0.105259
67.1119,2.34277e+50,0.19245,0.187058,4.9273e+49,4.37072e+49,1.67364,0.154148,-0.128965
67.4648,2.84061e+50,0.138187,0.160431,5.40286e+49,4.81601e+49,1.63857,0.127457,-0.106479
